Year,Actor,Movie,Songs,Singer,Music Director,Director
1961,Sivaji,Paalum Pazhamum,Paalum Pazhamum,TMS,Visw-Ram,Bhimsingh
1961,Sivaji,Paalum Pazhamum,Ponal Pogatum Poda,"TMS, MSV",Visw-Ram,Bhimsingh
1961,Sivaji,Kappalotiya Thamizhan,Vandhe Matharam Enbom,Sirkazhi,G Ramanathan,BR Panthulu
1962,Sivaji,Parthal Pasi Theerum,Andru Oomai Pennalo,"AL Raghavan, P Susheela",Visw-Ram,Bhimsingh
1962,Sivaji,Parthal Pasi Theerum,Kodi Asainthathum,"TMS, P Susheela",Visw-Ram,Bhimsingh
1962,Sivaji,Nichaya Thamboolam,Aandavan Padaichan,TMS,Visw-Ram,
1962,Sivaji,Nichaya Thamboolam,Paavadai Dhavaniyil,TMS,Visw-Ram,
1962,Sivaji,Padithal Mattum Podhuma,Pon Ondru Kanden,"TMS, PB Sreenivas",Visw-Ram,Bhimsingh
1962,Sivaji,Bale Pandiya,Athi Kai Kai,"TMS, PB Sreenivas, P Susheela",Visw-Ram,BR Panthulu
1962,Sivaji,Bale Pandiya,Neeye Unaku Endru,TMS,Visw-Ram,BR Panthulu
1962,Sivaji,Bale Pandiya,Vaazha Ninaithal,"TMS, P Susheela",Visw-Ram,BR Panthulu
1962,Sivaji,Aalayamani,Kallelam Maanika,"TMS, LR Eswari",Visw-Ram,K Shankar
1962,Sivaji,Aalayamani,Ponnai Virumbum,TMS,Visw-Ram,K Shankar
1962,Sivaji,Aalayamani,Satti Suttadhada,TMS,Visw-Ram,K Shankar
1963,Sivaji,Iruvar Ullam,Paravaigal Palavitham,TMS,KV Mahadevan,LV Prasad
1963,Sivaji,Iruvar Ullam,Nadhi Engey Pogiradhu,"TMS, P Susheela",KV Mahadevan,LV Prasad
1963,Sivaji,Iruvar Ullam,Kanethire Thondrinal,TMS,KV Mahadevan,LV Prasad
1963,Sivaji,Paar Magale Paar,Aval Paranthu Ponale,"TMS, PB Sreenivas",Visw-Ram,Bhimsingh
1963,Sivaji,Paar Magale Paar,Madhura Nagaril,"PB Sreenivas, P Susheela",Visw-Ram,Bhimsingh
1963,Sivaji,Paar Magale Paar,Neerodum Vaigayile,"TMS, P Susheela",Visw-Ram,Bhimsingh
1963,Sivaji,Kungumam,Chinna Siriya Vannaparavai,"TMS, S Janaki",KV Mahadevan,Krishnanâ€“Panju
1963,Sivaji,Kungumam,Thoongadha Kannendru,"TMS, P Susheela",KV Mahadevan,Krishnanâ€“Panju
1963,Sivaji,Annai Ilam,Ennirandu 16 Vayadhu,TMS,KV Mahadevan,P Madhavan
1964,Sivaji,Karnan,Ulathil Nalla Ullam,Sirkazhi,Visw-Ram,BR Panthulu
1964,Sivaji,Karnan,Poi Vaa Magale,Soolamangalam,Visw-Ram,BR Panthulu
1964,Sivaji,Pachai Vilakku ,Olimayamana Ethirkalam,TMS,Visw-Ram,Bhimsingh
1964,Sivaji,Aandavan Kattalai,Amaithiyana Nathiyinile,"TMS, P Susheela",Visw-Ram,K Shankar
1964,Sivaji,Aandavan Kattalai,Aaru Maname Aaru,TMS,Visw-Ram,K Shankar
1964,Sivaji,Aandavan Kattalai,Siripu Varuthu,Chandrababu ,Visw-Ram,K Shankar
1964,Sivaji,Kai Kodutha Deivam,Sindhu Nadhiyin,"TMS, LR Eswari",Visw-Ram,
1964,Sivaji,Puthiya Paravai,Engey Nimmadhi,TMS,Visw-Ram,Dada Mirasi
1964,Sivaji,Puthiya Paravai,Chittu Kuruvi,P Susheela,Visw-Ram,Dada Mirasi
1964,Sivaji,Puthiya Paravai,Aha Mella Nada,TMS,Visw-Ram,Dada Mirasi
1964,Sivaji,Puthiya Paravai,Unnai Ondru Ketpen,P Susheela,Visw-Ram,Dada Mirasi
1964,Sivaji,Puthiya Paravai,Paartha Gnaybagam Ilayo,P Susheela,Visw-Ram,Dada Mirasi
1964,Sivaji,Navaratri,Iravinil Aatam,TMS,KV Mahadevan,AP Nagarajan
